subject,index,task,roi,hemisphere,x,y,z
sub-087,1,loc,PFS,left,-36.73883028700948,-21.636353995651007,1.055909812450409
sub-087,1,loc,PFS,right,32.13217101804912,-14.73123086243868,-4.869377017021179
sub-087,1,loc,aIPS,left,-31.588693100959063,-34.36452325060964,31.06374019384384
sub-087,1,loc,aIPS,right,25.23774596303701,-17.79488983284682,72.26091013848782
sub-087,1,loc,pIPS,left,-35.94291894324124,-41.49279478378594,15.857540518045424
sub-087,1,loc,pIPS,right,36.37874550744891,-43.14976784028113,16.772096186876297
sub-087,2,loc,LO,left,-35.105321157723665,-39.14332429971546,-2.384675219655037
sub-087,2,loc,LO,right,31.246728977188468,-44.34587375074625,8.214539527893066
sub-087,2,loc,PFS,left,-36.73883028700948,-21.636353995651007,1.055909812450409
sub-087,2,loc,PFS,right,37.48178437165916,-13.0864419285208,1.5084238350391388
sub-087,2,loc,aIPS,left,-31.691704224795103,-34.10593365505338,32.02421933412552
sub-087,2,loc,aIPS,right,26.476201934739947,-37.39503845758736,33.94250097870827
sub-087,2,loc,pIPS,left,-34.93673101812601,-40.51139067579061,15.70123066008091
sub-087,2,loc,pIPS,right,32.239408107474446,-47.78265689127147,18.616612285375595
sub-088,0,loc,LO,left,-34.13088757544756,-36.44852097146213,0.4582821428775787
sub-088,0,loc,LO,right,40.99467487260699,-38.67411209829152,13.883333295583723
sub-088,0,loc,PFS,left,-33.13330615311861,-36.43161303550005,0.3908144533634186
sub-088,0,loc,PFS,right,35.56130659207702,-29.20689813233912,-4.794206023216248
sub-088,0,loc,aIPS,left,-20.81417317688465,-64.52578295953572,42.10360729694367
sub-088,0,loc,aIPS,right,33.616454880684614,-53.57550217024982,49.27416701614857
sub-088,0,loc,pIPS,left,-29.07940784469247,-57.76191007718444,25.342454567551613
sub-088,0,loc,pIPS,right,34.660562597215176,-51.58958869799972,20.744076251983643
sub-088,1,loc,LO,left,-34.13088757544756,-36.44852097146213,0.4582821428775787
sub-088,1,loc,LO,right,43.65418322011829,-41.096907675266266,8.133799657225609
sub-088,1,loc,PFS,left,-34.13088757544756,-36.44852097146213,0.4582821428775787
sub-088,1,loc,PFS,right,36.62541763111949,-31.125697884708643,-4.3630662858486176
sub-088,1,loc,aIPS,left,-20.81417317688465,-64.52578295953572,42.10360729694367
sub-088,1,loc,aIPS,right,33.616454880684614,-53.57550217024982,49.27416701614857
sub-088,1,loc,pIPS,left,-29.07940784469247,-57.76191007718444,25.342454567551613
sub-088,1,loc,pIPS,right,33.616454880684614,-53.57550217024982,49.27416701614857
sub-088,2,loc,LO,left,-34.13088757544756,-36.44852097146213,0.4582821428775787
sub-088,2,loc,LO,right,44.65176464244723,-41.079999739304185,8.066331967711449
sub-088,2,loc,PFS,left,-34.13088757544756,-36.44852097146213,0.4582821428775787
sub-088,2,loc,PFS,right,33.499614130705595,-27.30500631593168,-5.157878071069717
sub-088,2,loc,aIPS,left,-20.81417317688465,-64.52578295953572,42.10360729694367
sub-088,2,loc,aIPS,right,33.616454880684614,-53.57550217024982,49.27416701614857
sub-088,2,loc,pIPS,left,-20.81417317688465,-64.52578295953572,42.10360729694367
sub-088,2,loc,pIPS,right,41.38237241283059,-58.06711216457188,14.755814328789713
sub-093,0,loc,LO,left,-34.52559769153595,-47.45630224049091,-10.894365625455976
sub-093,0,loc,LO,right,35.5689686909318,-48.19107110053301,-9.10891615692526
sub-093,0,loc,PFS,left,-27.64433322846889,-21.531973659992214,-15.539475893601775
sub-093,0,loc,PFS,right,32.60396094620228,-26.238732650876045,-10.250638645142317
sub-093,0,loc,aIPS,left,-20.825973734259605,-65.81538126990199,26.203661391045895
sub-093,0,loc,aIPS,right,7.535890176892281,-52.67078939825296,52.88362025935203
sub-093,0,loc,pIPS,left,-35.221023719757795,-55.83552796021104,8.478422809857875
sub-093,0,loc,pIPS,right,31.895406257361174,-56.98491629213095,8.274211541749537
sub-093,1,loc,LO,left,-36.26084756478667,-53.19579542428255,-15.142553945071995
sub-093,1,loc,LO,right,37.6437328979373,-49.939735904335976,-7.829265778884292
sub-093,1,loc,PFS,left,-28.686449076980352,-20.58698495104909,-15.684341221582144
sub-093,1,loc,PFS,right,32.56086889281869,-25.24974586069584,-10.392230208963156
sub-093,1,loc,aIPS,left,-18.74174203723669,-67.70535868778825,26.49339204700664
sub-093,1,loc,aIPS,right,26.93259653821588,-60.45348475500941,42.05792606016621
sub-093,1,loc,pIPS,left,-35.28305075317621,-54.56391594186425,10.316670690197498
sub-093,1,loc,pIPS,right,26.93259653821588,-60.45348475500941,42.05792606016621
sub-093,2,loc,LO,left,-35.56771354004741,-46.511313531547785,-11.039230953436345
sub-093,2,loc,LO,right,35.6215282343328,-49.321370504796505,-9.957244315184653
sub-093,2,loc,PFS,left,-27.687425281852484,-20.54298686981201,-15.681067457422614
sub-093,2,loc,PFS,right,32.56086889281869,-25.24974586069584,-10.392230208963156
sub-093,2,loc,aIPS,left,-19.802792865782976,-66.47774475067854,28.32836616318673
