subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1005,pIPS,left,aIPS,right,2to1,0.027872775481206122
sub-spaceloc1005,pIPS,left,LO,left,1to2,0.03222879681713594
sub-spaceloc1005,pIPS,left,LO,left,2to1,0.010358952515501868
sub-spaceloc1005,pIPS,left,LO,right,1to2,0.03859388112730801
sub-spaceloc1005,pIPS,left,LO,right,2to1,0.0158467007973531
sub-spaceloc1005,pIPS,right,pIPS,left,1to2,0.042705281214492456
sub-spaceloc1005,pIPS,right,pIPS,left,2to1,-0.0001926310864720279
sub-spaceloc1005,pIPS,right,aIPS,left,1to2,0.04461040295498192
sub-spaceloc1005,pIPS,right,aIPS,left,2to1,0.011125780167599946
sub-spaceloc1005,pIPS,right,aIPS,right,1to2,0.03147251130960405
sub-spaceloc1005,pIPS,right,aIPS,right,2to1,0.025430858448080948
sub-spaceloc1005,pIPS,right,LO,left,1to2,0.004229868392359311
sub-spaceloc1005,pIPS,right,LO,left,2to1,0.01891136586418772
sub-spaceloc1005,pIPS,right,LO,right,1to2,0.013458316600214688
sub-spaceloc1005,pIPS,right,LO,right,2to1,0.0068339536973735845
sub-spaceloc1005,aIPS,left,pIPS,left,1to2,0.027028725827021403
sub-spaceloc1005,aIPS,left,pIPS,left,2to1,0.00548959120413382
sub-spaceloc1005,aIPS,left,pIPS,right,1to2,0.0476806582828136
sub-spaceloc1005,aIPS,left,pIPS,right,2to1,0.011128914262886343
sub-spaceloc1005,aIPS,left,aIPS,right,1to2,0.03324435525630481
sub-spaceloc1005,aIPS,left,aIPS,right,2to1,0.019974279303217646
sub-spaceloc1005,aIPS,left,LO,left,1to2,0.041476353724814244
sub-spaceloc1005,aIPS,left,LO,left,2to1,0.004482524633385102
sub-spaceloc1005,aIPS,left,LO,right,1to2,0.055748577427977695
sub-spaceloc1005,aIPS,left,LO,right,2to1,0.012964343770922785
sub-spaceloc1005,aIPS,right,pIPS,left,1to2,0.03340332230348919
sub-spaceloc1005,aIPS,right,pIPS,left,2to1,0.02786851026638308
sub-spaceloc1005,aIPS,right,pIPS,right,1to2,0.03780778863895998
sub-spaceloc1005,aIPS,right,pIPS,right,2to1,0.025461684791512524
sub-spaceloc1005,aIPS,right,aIPS,left,1to2,0.0513110937448568
sub-spaceloc1005,aIPS,right,aIPS,left,2to1,0.019974260847712186
sub-spaceloc1005,aIPS,right,LO,left,1to2,0.049884248544518554
sub-spaceloc1005,aIPS,right,LO,left,2to1,0.0699111786319666
sub-spaceloc1005,aIPS,right,LO,right,1to2,0.05834818096391562
sub-spaceloc1005,aIPS,right,LO,right,2to1,0.07381632531839992
sub-spaceloc1005,LO,left,pIPS,left,1to2,0.03227096101244794
sub-spaceloc1005,LO,left,pIPS,left,2to1,0.010365997210228952
sub-spaceloc1005,LO,left,pIPS,right,1to2,0.0042318812993661975
sub-spaceloc1005,LO,left,pIPS,right,2to1,0.018949820511362785
sub-spaceloc1005,LO,left,aIPS,left,1to2,0.03688849973954406
sub-spaceloc1005,LO,left,aIPS,left,2to1,0.004485656901185864
sub-spaceloc1005,LO,left,aIPS,right,1to2,0.02859789571569989
sub-spaceloc1005,LO,left,aIPS,right,2to1,0.07001888716240512
sub-spaceloc1005,LO,left,LO,right,1to2,0.061658978819446764
sub-spaceloc1005,LO,left,LO,right,2to1,0.07883407519064674
sub-spaceloc1005,LO,right,pIPS,left,1to2,0.03861592041244257
sub-spaceloc1005,LO,right,pIPS,left,2to1,0.01584542498301674
sub-spaceloc1005,LO,right,pIPS,right,1to2,0.013450987331283417
sub-spaceloc1005,LO,right,pIPS,right,2to1,0.006858752928777652
sub-spaceloc1005,LO,right,aIPS,left,1to2,0.049789614249604215
sub-spaceloc1005,LO,right,aIPS,left,2to1,0.012966599483632197
sub-spaceloc1005,LO,right,aIPS,right,1to2,0.03477295953435563
sub-spaceloc1005,LO,right,aIPS,right,2to1,0.07389099659637405
sub-spaceloc1005,LO,right,LO,left,1to2,0.061628291260979004
sub-spaceloc1005,LO,right,LO,left,2to1,0.07880623795450963
sub-spaceloc1006,pIPS,left,pIPS,right,1to2,-0.04802635930614299
sub-spaceloc1006,pIPS,left,pIPS,right,2to1,0.011569274371880734
sub-spaceloc1006,pIPS,left,aIPS,left,1to2,-0.04578658637645496
sub-spaceloc1006,pIPS,left,aIPS,left,2to1,0.015392845966021735
sub-spaceloc1006,pIPS,left,aIPS,right,1to2,-0.011121211311973116
sub-spaceloc1006,pIPS,left,aIPS,right,2to1,0.008907262611367397
