ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
142,7Networks_RH_DorsAttn_Post_8,0.1267913430929184,0.08332257717847824,True,True,True,False,False,False
143,7Networks_RH_DorsAttn_Post_9,0.1251918226480484,0.01057673804461956,True,True,True,False,False,False
144,7Networks_RH_DorsAttn_Post_10,0.10759326815605164,0.018165120854973793,True,True,True,False,False,False
145,7Networks_RH_DorsAttn_FEF_1,0.0740678608417511,0.04991936683654785,True,True,True,False,False,False
146,7Networks_RH_DorsAttn_FEF_2,0.08400736004114151,0.039283715188503265,True,True,True,False,False,False
147,7Networks_RH_DorsAttn_PrCv_1,0.0,0.04516060650348663,False,True,False,False,True,False
148,7Networks_RH_SalVentAttn_TempOccPar_1,0.06764161586761475,0.0514383465051651,True,True,True,False,False,False
149,7Networks_RH_SalVentAttn_TempOccPar_2,0.061173830181360245,0.0,True,False,False,True,False,False
150,7Networks_RH_SalVentAttn_TempOccPar_3,0.06357553601264954,0.0,True,False,False,True,False,False
151,7Networks_RH_SalVentAttn_PrC_1,0.05225839838385582,0.060600146651268005,True,True,True,False,False,False
152,7Networks_RH_SalVentAttn_FrOperIns_1,0.0,0.0,False,False,False,False,False,True
153,7Networks_RH_SalVentAttn_FrOperIns_2,0.0,0.01920413225889206,False,True,False,False,True,False
154,7Networks_RH_SalVentAttn_FrOperIns_3,0.0,0.04058781638741493,False,True,False,False,True,False
155,7Networks_RH_SalVentAttn_FrOperIns_4,0.0,0.0,False,False,False,False,False,True
156,7Networks_RH_SalVentAttn_Med_1,0.0,0.043168336153030396,False,True,False,False,True,False
157,7Networks_RH_SalVentAttn_Med_2,0.08128692209720612,0.0,True,False,False,True,False,False
158,7Networks_RH_SalVentAttn_Med_3,0.05755682289600372,0.046024493873119354,True,True,True,False,False,False
159,7Networks_RH_Limbic_OFC_1,0.0,0.0,False,False,False,False,False,True
160,7Networks_RH_Limbic_OFC_2,0.0,0.0,False,False,False,False,False,True
161,7Networks_RH_Limbic_OFC_3,0.0,0.0,False,False,False,False,False,True
162,7Networks_RH_Limbic_TempPole_1,0.0,0.0,False,False,False,False,False,True
163,7Networks_RH_Limbic_TempPole_2,0.0,0.01958555355668068,False,True,False,False,True,False
164,7Networks_RH_Limbic_TempPole_3,0.0,0.0,False,False,False,False,False,True
165,7Networks_RH_Cont_Par_1,0.058859407901763916,0.0,True,False,False,True,False,False
166,7Networks_RH_Cont_Par_2,0.0,0.05236341059207916,False,True,False,False,True,False
167,7Networks_RH_Cont_Par_3,0.08093865215778351,0.09125436842441559,True,True,True,False,False,False
168,7Networks_RH_Cont_Temp_1,0.0462532564997673,0.05181817710399628,True,True,True,False,False,False
169,7Networks_RH_Cont_PFCv_1,0.0,0.0,False,False,False,False,False,True
170,7Networks_RH_Cont_PFCl_1,0.0,0.0,False,False,False,False,False,True
171,7Networks_RH_Cont_PFCl_2,0.0,0.0,False,False,False,False,False,True
172,7Networks_RH_Cont_PFCl_3,0.0,0.0,False,False,False,False,False,True
173,7Networks_RH_Cont_PFCl_4,0.0,0.07481488585472107,False,True,False,False,True,False
174,7Networks_RH_Cont_PFCl_5,0.0,0.0,False,False,False,False,False,True
175,7Networks_RH_Cont_PFCl_6,0.0,0.0,False,False,False,False,False,True
176,7Networks_RH_Cont_PFCl_7,0.055181220173835754,0.06509643793106079,True,True,True,False,False,False
177,7Networks_RH_Cont_pCun_1,0.14319132268428802,-0.0,True,False,False,True,False,False
178,7Networks_RH_Cont_Cing_1,0.06170555576682091,0.0,True,False,False,True,False,False
179,7Networks_RH_Cont_Cing_2,0.0,0.0,False,False,False,False,False,True
180,7Networks_RH_Cont_PFCmp_1,0.0,0.04206953942775726,False,True,False,False,True,False
181,7Networks_RH_Cont_PFCmp_2,0.0,0.04690735787153244,False,True,False,False,True,False
182,7Networks_RH_Default_Par_1,0.12308740615844727,0.006870506796985865,True,True,True,False,False,False
183,7Networks_RH_Default_Par_2,0.06571575999259949,0.023995136842131615,True,True,True,False,False,False
184,7Networks_RH_Default_Par_3,0.06178959086537361,0.03281402960419655,True,True,True,False,False,False
185,7Networks_RH_Default_Temp_1,0.0,0.0,False,False,False,False,False,True
186,7Networks_RH_Default_Temp_2,0.0,0.03503940999507904,False,True,False,False,True,False
187,7Networks_RH_Default_Temp_3,0.0,0.04404478520154953,False,True,False,False,True,False
188,7Networks_RH_Default_Temp_4,0.04112514108419418,0.06381659209728241,True,True,True,False,False,False
189,7Networks_RH_Default_Temp_5,0.042540375143289566,0.05550971254706383,True,True,True,False,False,False
190,7Networks_RH_Default_PFCv_1,0.0,0.0,False,False,False,False,False,True
191,7Networks_RH_Default_PFCdPFCm_1,0.0,0.0,False,False,False,False,False,True
192,7Networks_RH_Default_PFCdPFCm_2,0.0,-0.0,False,False,False,False,False,True
193,7Networks_RH_Default_PFCdPFCm_3,0.0,0.0,False,False,False,False,False,True
194,7Networks_RH_Default_PFCdPFCm_4,0.0,0.0,False,False,False,False,False,True
195,7Networks_RH_Default_PFCdPFCm_5,0.0,0.0,False,False,False,False,False,True
196,7Networks_RH_Default_PFCdPFCm_6,0.05122688040137291,0.02437332086265087,True,True,True,False,False,False
197,7Networks_RH_Default_PFCdPFCm_7,0.06132517755031586,0.0,True,False,False,True,False,False
198,7Networks_RH_Default_pCunPCC_1,0.1293535828590393,-0.0,True,False,False,True,False,False
199,7Networks_RH_Default_pCunPCC_2,0.09277120232582092,0.0,True,False,False,True,False,False
200,7Networks_RH_Default_pCunPCC_3,0.0995529294013977,0.0,True,False,False,True,False,False
