ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,pIPS_LOO_Reliability,LO_LOO_Reliability,pIPS_Bootstrap_Significant,LO_Bootstrap_Significant,pIPS_LOO_Significant,LO_LOO_Significant,pIPS_Combined_Significant,LO_Combined_Significant,Both_Networks_Significant
95,7Networks_LH_Default_PFC_13,0.048845620179134935,0.03537754398874111,0.026812968456781366,0.07675111155581864,0.027898428106628775,0.04315260743282528,1.0,1.0,True,True,True,True,True,True,True
96,7Networks_LH_Default_pCunPCC_1,0.11912679299712181,-0.014680928809361326,0.09269412294444111,0.148615574495246,-0.040077588751187755,0.01346928002183429,1.0,0.7222222222222222,True,False,True,False,True,False,False
97,7Networks_LH_Default_pCunPCC_2,0.09949168562889099,-0.015239825789144056,0.06565746291954484,0.14442135783222812,-0.033728022282755565,0.004758715180893556,1.0,0.7222222222222222,True,False,True,False,True,False,False
98,7Networks_LH_Default_pCunPCC_3,0.06457357149985102,0.021188817840690415,0.047132860196547374,0.08346795349433603,0.0013703208940569317,0.04504532143732326,1.0,0.6666666666666666,True,True,True,False,True,False,False
99,7Networks_LH_Default_pCunPCC_4,0.09037267044186592,0.00448892524258958,0.064398911760913,0.11958318890279364,-0.02008498064501004,0.03163788633084753,1.0,0.4444444444444444,True,False,True,False,True,False,False
100,7Networks_LH_Default_PHC_1,0.05684848274621698,0.041159294442170195,0.04778176277048058,0.06708157677720818,0.019608861870235864,0.06878880181918955,1.0,0.8888888888888888,True,True,True,True,True,True,True
101,7Networks_RH_Vis_1,0.032476660847249955,0.09431718786557515,0.025339577270723466,0.04003047733567655,0.07636924368432826,0.11542435202540621,1.0,1.0,True,True,True,True,True,True,True
102,7Networks_RH_Vis_2,0.06753594759437773,0.06079976193399893,0.053410680198835,0.08171807318511935,0.03579178512510326,0.09463707246274375,1.0,0.9444444444444444,True,True,True,True,True,True,True
103,7Networks_RH_Vis_3,0.07595301895505852,0.12434075524409612,0.06409073534628583,0.08841751740417547,0.09702494906054603,0.15429404526948928,1.0,1.0,True,True,True,True,True,True,True
104,7Networks_RH_Vis_4,0.11293891755243142,-0.018844917623533144,0.08925291231522957,0.13788924474890032,-0.056661386534364686,0.026710006952958387,1.0,0.7222222222222222,True,False,True,False,True,False,False
105,7Networks_RH_Vis_5,0.028466563827047747,0.07271287238432302,0.016846639847952045,0.03942693100931743,0.0378196000535455,0.11407672957931125,0.8333333333333334,0.8888888888888888,True,True,True,True,True,True,True
