ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,pIPS_CI_Lower,pIPS_CI_Upper,LO_CI_Lower,LO_CI_Upper,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
93,7Networks_LH_Default_PFC_11,0.053264145377195544,0.03939488687966433,0.03840465281262166,0.069692071831216,0.02428842461409254,0.05672032972603726,True,True,True,False,False,False
94,7Networks_LH_Default_PFC_12,0.06361787147923476,0.011815234320238233,0.04654748554845961,0.08175411812974037,-0.00388989810210963,0.03207983510219491,True,False,False,True,False,False
95,7Networks_LH_Default_PFC_13,0.048845620179134935,0.03537754398874111,0.026945203069287042,0.07669874220995956,0.027623727387334738,0.04305325801251456,True,True,True,False,False,False
96,7Networks_LH_Default_pCunPCC_1,0.11912679299712181,-0.014680928809361326,0.09246445969781943,0.14845778149449163,-0.03943446861942195,0.014238483669598482,True,False,False,True,False,False
97,7Networks_LH_Default_pCunPCC_2,0.09949168562889099,-0.015239825789144056,0.06541264806356695,0.14425310309355455,-0.0330847282083899,0.005084616178484986,True,False,False,True,False,False
98,7Networks_LH_Default_pCunPCC_3,0.06457357149985102,0.021188817840690415,0.04715316697903391,0.08308553007534808,0.0011550196685776533,0.045329458657781485,True,True,True,False,False,False
99,7Networks_LH_Default_pCunPCC_4,0.09037267044186592,0.00448892524258958,0.06372421463020146,0.11883535190071495,-0.019784783841007285,0.032469211381006356,True,False,False,True,False,False
100,7Networks_LH_Default_PHC_1,0.05684848274621698,0.041159294442170195,0.04773418112244043,0.06700684304556083,0.01909397114844372,0.0694394697396395,True,True,True,False,False,False
101,7Networks_RH_Vis_1,0.032476660847249955,0.09431718786557515,0.025276446355403298,0.040098373205142306,0.07606625739071105,0.11574926373238364,True,True,True,False,False,False
102,7Networks_RH_Vis_2,0.06753594759437773,0.06079976193399893,0.053324027830320926,0.08212516986144085,0.03522673027408827,0.09513422541915334,True,True,True,False,False,False
103,7Networks_RH_Vis_3,0.07595301895505852,0.12434075524409612,0.06401335434056818,0.08830171192789243,0.09624197552394535,0.1540166401407785,True,True,True,False,False,False
104,7Networks_RH_Vis_4,0.11293891755243142,-0.018844917623533144,0.08901329333893954,0.13806492558990915,-0.05605700795875034,0.02902152796094823,True,False,False,True,False,False
105,7Networks_RH_Vis_5,0.028466563827047747,0.07271287238432302,0.017097567742328262,0.0395503209839161,0.03732154525092078,0.11396652157547775,True,True,True,False,False,False
106,7Networks_RH_Vis_6,0.04413518594163987,0.05208834069263604,0.026120683192534164,0.06191092540328908,0.025460949509094163,0.07924311466566802,True,True,True,False,False,False
107,7Networks_RH_Vis_7,0.08270859604494439,0.006813282949022121,0.06567917924322601,0.10137072444324279,-0.019171791277282562,0.04366371390383896,True,False,False,True,False,False
108,7Networks_RH_Vis_8,0.0039375277507739765,0.12706078868359327,-0.005483802516472578,0.013515172010132406,0.10358206235493223,0.1482919838771017,False,True,False,False,True,False
109,7Networks_RH_Vis_9,0.146370444032881,-0.05645186769672566,0.11615378534835245,0.17899435848618547,-0.09906390623784521,-0.004954378780288012,True,True,True,False,False,False
110,7Networks_RH_Vis_10,0.09764743989540471,0.011877272536771165,0.07729516692666544,0.12101996272491906,-0.01674406512368781,0.04798477288245015,True,False,False,True,False,False
111,7Networks_RH_Vis_11,0.08900219139953454,0.12457231370111306,0.07172937738812632,0.10845169528490965,0.09108109740126465,0.15766343159290652,True,True,True,False,False,False
112,7Networks_RH_Vis_12,0.12024860787722799,-0.038856021076854735,0.09261096443515271,0.15066581231852372,-0.07270507193299838,-0.002524238346248039,True,True,True,False,False,False
113,7Networks_RH_Vis_13,0.1502409362130695,-0.04429200658988622,0.11689363101290332,0.18779221752451528,-0.07082577959711973,-0.015680383817137534,True,True,True,False,False,False
114,7Networks_RH_Vis_14,0.13033372329341042,-0.06633191369473934,0.0972838797296087,0.1675113483539058,-0.0974597451574583,-0.03356310386443511,True,True,True,False,False,False
115,7Networks_RH_Vis_15,0.1285924849410852,0.043233363203600876,0.11287098879822426,0.14414441781118512,0.022105437403337824,0.06586670261555506,True,True,True,False,False,False
116,7Networks_RH_SomMot_1,0.050001191389229566,0.021935586584731936,0.03411662759673264,0.06976257202525935,0.006316196129450368,0.0378803199461092,True,True,True,False,False,False
117,7Networks_RH_SomMot_2,0.05984453013580707,0.03523154204918279,0.041809540407525166,0.07949686395392443,0.01699537814129144,0.05414547604353477,True,True,True,False,False,False
118,7Networks_RH_SomMot_3,0.04929992898056904,0.01397764095519152,0.02624823968961007,0.08328784857100495,0.001998074183939025,0.026662373916608174,True,True,True,False,False,False
119,7Networks_RH_SomMot_4,0.06083121813005871,0.01916836359952059,0.03870647851015545,0.09143501989698656,0.004817782743420038,0.034114603812081944,True,True,True,False,False,False
120,7Networks_RH_SomMot_5,0.05969870866586765,0.007586465268913243,0.03969801906496286,0.08408983982064656,-0.009538993650736908,0.026495053386315696,True,False,False,True,False,False
121,7Networks_RH_SomMot_6,0.06007274447215928,0.01034782909684711,0.04001505871872521,0.08499711610945976,-0.006861648227398594,0.03220517816177259,True,False,False,True,False,False
122,7Networks_RH_SomMot_7,0.05334915862315231,0.03312942282193237,0.04128945180370162,0.06508310002326552,0.015105435924811495,0.05233291624527838,True,True,True,False,False,False
123,7Networks_RH_SomMot_8,0.053633018758975796,0.02976319099414266,0.03827499985927716,0.06973805229257171,8.464980993368236e-05,0.07032579501974395,True,True,True,False,False,False
