ROI,Analysis,Subject1,Subject2,Dice
LO,ppi,sub-083,sub-094,0.41756527636486945
LO,ppi,sub-083,sub-095,0.5240301760268231
LO,ppi,sub-083,sub-096,0.4082981332606622
LO,ppi,sub-083,sub-097,0.5163984965287092
LO,ppi,sub-083,sub-107,0.5192657937537006
LO,ppi,sub-085,sub-087,0.579567093101798
LO,ppi,sub-085,sub-088,0.5048284036256715
LO,ppi,sub-085,sub-093,0.6677876202974629
LO,ppi,sub-085,sub-094,0.4452550464863054
LO,ppi,sub-085,sub-095,0.6190018148820327
LO,ppi,sub-085,sub-096,0.4379293816903659
LO,ppi,sub-085,sub-097,0.6160372426186295
LO,ppi,sub-085,sub-107,0.5870533028516424
LO,ppi,sub-087,sub-088,0.5241762508434452
LO,ppi,sub-087,sub-093,0.6714445347695939
LO,ppi,sub-087,sub-094,0.4465612244474249
LO,ppi,sub-087,sub-095,0.6190947160202858
LO,ppi,sub-087,sub-096,0.4291151324154088
LO,ppi,sub-087,sub-097,0.6040389963479809
LO,ppi,sub-087,sub-107,0.589895864800178
LO,ppi,sub-088,sub-093,0.5664391786652716
LO,ppi,sub-088,sub-094,0.43945991367785797
LO,ppi,sub-088,sub-095,0.5242043628928396
LO,ppi,sub-088,sub-096,0.4079132895304782
LO,ppi,sub-088,sub-097,0.5261938659781376
LO,ppi,sub-088,sub-107,0.5289701479263629
LO,ppi,sub-093,sub-094,0.4788540070646913
LO,ppi,sub-093,sub-095,0.7690604615224594
LO,ppi,sub-093,sub-096,0.47640144549184016
LO,ppi,sub-093,sub-097,0.7315957444098896
LO,ppi,sub-093,sub-107,0.6806466339053143
LO,ppi,sub-094,sub-095,0.44247039528347554
LO,ppi,sub-094,sub-096,0.3819707045681749
LO,ppi,sub-094,sub-097,0.4584596040401607
LO,ppi,sub-094,sub-107,0.45352675115113483
LO,ppi,sub-095,sub-096,0.4558424799547623
LO,ppi,sub-095,sub-097,0.674074633588192
LO,ppi,sub-095,sub-107,0.6252112801352193
LO,ppi,sub-096,sub-097,0.459185099831882
LO,ppi,sub-096,sub-107,0.4383242252691515
LO,ppi,sub-097,sub-107,0.6123926158338164
