ROI,Subject1,Subject2,Dice
pIPS,sub-059_right,sub-067_left,0.8823592300685514
pIPS,sub-059_right,sub-067_right,0.8839949012489386
pIPS,sub-059_right,sub-068_left,0.8655346105624354
pIPS,sub-059_right,sub-068_right,0.8700926396964265
pIPS,sub-059_right,sub-071_left,0.8576559735621057
pIPS,sub-059_right,sub-071_right,0.8637610188256457
pIPS,sub-059_right,sub-083_left,0.8314045184524705
pIPS,sub-059_right,sub-083_right,0.8418969715919854
pIPS,sub-059_right,sub-084_left,0.8447371525540622
pIPS,sub-059_right,sub-084_right,0.8397256321298499
pIPS,sub-059_right,sub-085_left,0.8115927626862387
