ROI_ID,ROI_Name,Clean_Name,Mean_Value,t_stat,p_value,Significant,LOOV_Mean,LOOV_Std,Bootstrap_Mean,Bootstrap_CI_Lower,Bootstrap_CI_Upper,Anatomical_Lobe,Hemisphere,Base_Region,Lobe_Sorted,sort_key,Full_ID
26,7Networks_LH_SomMot_12,SomMot_12,0.04058171420813874,2.7004913483903343,0.007113422795300129,True,0.04058171420813874,0.000604495900929247,0.04058171420813874,0.01313884517371113,0.06853761620914252,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
22,7Networks_LH_SomMot_8,SomMot_8,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
23,7Networks_LH_SomMot_9,SomMot_9,0.006987324720656512,1.4158012424571835,0.15755592400953872,True,0.006987324720656514,0.0002377223432116558,0.006987324720656512,0.0,0.017499257901794088,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
24,7Networks_LH_SomMot_10,SomMot_10,0.0027723095560143957,0.9999999999999999,0.3177526652686307,True,0.0027723095560143957,0.00011853539705647383,0.0027723095560143957,0.0,0.008316928668043186,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
25,7Networks_LH_SomMot_11,SomMot_11,0.330320959629889,8.551022433590797,3.3175783644232856e-16,True,0.330320959629889,0.0020136972474025573,0.330320959629889,0.2570150188108899,0.4089780895778977,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
27,7Networks_LH_SomMot_13,SomMot_13,0.05101884689848725,3.2479030219894467,0.0012694548574095732,True,0.05101884689848725,0.0008188487229207244,0.05101884689848725,0.02384478575488154,0.08479560190562185,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
28,7Networks_LH_SomMot_14,SomMot_14,0.032800602848918184,2.0298430781373358,0.04286043470594229,True,0.032800602848918184,0.0006940962810378169,0.032800602848918184,0.0036971860819755395,0.07017387902883061,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
29,7Networks_LH_SomMot_15,SomMot_15,0.14863988609939094,6.021115540905262,2.364982541200173e-09,True,0.14863988609939094,0.0007480738315198653,0.14863988609939094,0.09958429966111938,0.19602730186482636,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
21,7Networks_LH_SomMot_7,SomMot_7,0.0,,,True,0.0,0.0,0.0,0.0,0.0,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
30,7Networks_LH_SomMot_16,SomMot_16,0.024192990898973112,1.627180020025138,0.10478862149393157,True,0.024192990898973112,0.0008745910680997149,0.024192990898973112,0.0,0.06116207432933664,Somatomotor,L,SomMot,Somatomotor,"(1, 'SomMot', 0)",SomMot_L
134,7Networks_RH_SomMot_19,SomMot_19,-0.049318537421374514,-2.5854674898619043,0.010298737459425751,True,-0.049318537421374514,0.0012137315211473586,-0.049318537421374514,-0.09115928082564448,-0.01835757502448596,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
130,7Networks_RH_SomMot_15,SomMot_15,0.02192033263030126,1.5984424994057873,0.11106833129967145,True,0.02192033263030126,0.0008180822353348777,0.02192033263030126,0.0,0.054063512857452214,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
129,7Networks_RH_SomMot_14,SomMot_14,0.005864513908519728,1.019959318742887,0.3082157476267497,True,0.005864513908519728,0.0002504631641520661,0.005864513908519728,-0.005539355709501877,0.017566020043461913,Somatomotor,R,SomMot,Somatomotor,"(1, 'SomMot', 1)",SomMot_R
