left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,left_hemi,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1,right_hemi
14475.530246310764,15473.617962360382,1660.1097353100777,1850.8526066674126,2808.251991358068,1217.3281759023666,19490.404812282984,75326.6821085612,13341.120700412326,10838.617302788629,871.9737922615475,1119.0596760643853,2497.139390150706,2830.820905579461,17090.621083577473,66092.41974894206
18245.48542128669,15001.39112859302,1379.2543838620186,2146.606534745958,2375.535858048333,1677.6305544111465,27754.60511610243,74859.4313015408,11026.61467827691,13340.417948404947,900.331919921769,869.4880581961738,2006.2211425569321,2562.2122610939873,15239.121542188856,60523.47049967448
16110.5223136478,19653.609185112848,1289.273615234428,2561.459061198764,2224.2174993952117,1783.5290004147423,25284.74924045139,67472.8948296441,13989.923516167535,12717.744140625,1160.2123207648594,1168.6354592641194,1941.187196413676,1906.548659324646,18945.938899570043,72299.67610677083
14819.849569320679,18414.833096848593,1431.0818542506959,1761.4752989874946,1656.6087494558758,2016.06767364343,25158.60519748264,78718.54898410373,10630.671895345053,10754.460259331598,956.9489194419649,536.35279168023,2246.186842335595,2337.507115152147,19207.59883711073,60016.52593315972
16731.376587549847,14238.31703956922,1494.8327068355347,2433.4056266148887,2330.5693746142915,2138.244488345252,25726.48130967882,73417.48301188152,11556.08388264974,12279.068508572049,709.2117598586613,811.2465229034424,2054.3466375668845,2100.6081773969863,18490.496706644695,65623.2517191569
16016.962986204358,14142.974963770972,1779.5504284567303,1849.1976468827988,1601.4730410310958,1237.6893254584736,29900.917588975695,86853.66345893012,10507.33590359158,13798.132527669271,810.3360170523325,811.4477922651503,2064.0328115887114,1866.5608718660142,23006.028280470106,56976.32607693142
17747.97116555108,17737.53189688259,1767.7757109138702,1872.880495177375,2481.0906615191034,1517.6390748951171,25732.51633029514,79757.71281602647,13046.900987413195,13771.264289008246,774.1154307126999,901.8551001018948,2490.7116435898674,1721.8281750149197,20198.804065280492,57418.675130208336
18074.661512586805,17439.00803891818,1582.5711255206002,1834.6686755286323,1793.52749652995,1518.4865552915467,29659.905517578125,86729.5855984158,10646.047668457031,13344.575941297742,750.9768533441755,1073.32892481486,2445.5779905319214,2102.926036834717,18346.349650065105,56753.3099093967
22101.15661684672,16299.22007505099,1050.9554673234622,2133.4645487467446,2486.857580165068,1244.945655339294,24906.691569010418,78108.5534193251,11434.034878200955,10571.176981608072,872.6970117489496,762.1887125439114,2159.1460712750754,1856.9980369144016,19454.465346442328,69423.8824089898
15217.024742126465,18020.325759066476,1298.802516506778,2314.8754975001016,2714.294201877382,1860.0349156724083,25045.159016927082,74071.61322021484,11684.900682237414,12372.753723144531,605.5436426798502,710.2812057071262,2199.005500263638,1321.9470399220784,15732.278500027127,67267.30764770508
15962.075779173108,18577.35651487774,1156.361088388496,1897.913369072808,3116.6374747819373,1587.4060640732448,27213.759955512152,78877.85409206814,10081.960144042969,12894.309285481771,410.9590300189124,566.3900279998779,1932.8817035357158,2214.4924866358438,16916.645550198024,57614.29059516059
16818.461644066705,17279.283613522846,1398.9134321543906,2037.998690923055,2287.393733408716,2242.623493856854,25937.021809895832,96855.0297173394,12224.52682156033,12551.553385416666,946.0808093680275,886.191436237759,1637.3276974889968,1939.9196467929416,19669.99255625407,80367.91789076064
15295.825576358371,16094.501052035226,1171.0920626653565,1928.0571337805854,2370.5443332062828,2294.207085000144,23978.74490017361,76551.59661865234,10597.913770887586,12863.312547471789,994.3847054507997,1250.3224548763699,2316.868345949385,1402.9862482282851,16421.33509657118,55270.25725301107
17703.259183035956,17303.561125940745,1191.9321719606717,2036.6539328893025,2422.5061085422835,1883.6719247102737,21442.701687282984,89997.13682725694,12385.84507921007,13210.805609809027,590.9747789965736,767.6624601152208,2105.2620067596436,1409.2347549862332,19525.625734117297,71585.45684475369
16746.313056733874,15272.551122082605,1434.4270754853885,1991.5337447060479,2391.370385977957,1591.1578738358285,27415.879286024305,80862.0599907769,10173.897271050348,11758.861063639322,668.1299911207623,867.4423441357083,2383.85374683804,2125.5136637157866,14769.352025349936,64952.31561279297
18408.631647321912,18325.489273124273,1542.0225288934178,1974.1465314229329,1980.2067757315106,1164.5480979482334,30483.869140625,84332.87450493706,12173.816745334201,16040.907097710504,815.983363058832,550.8289015028212,2068.151972717709,2694.7122178607515,17342.969347635906,74477.98147583008
19071.938857608373,19995.79010862774,1398.3993835051854,1622.772790590922,2676.0840853386453,1595.8236301143963,28293.582709418402,84862.03519015842,12342.580152723523,14349.62789577908,541.8683508502113,661.2780228720771,2977.953163305918,2121.404982778761,19705.72358194987,60612.83784315321
14059.927328745523,18146.66535867585,1511.8278882039917,2781.861130502489,2062.8269462188086,2311.843285229471,25724.218831380207,81785.99336751302,9272.800808376736,12097.335673014322,1341.5291830036376,1132.6883786519368,1938.3544334835476,1235.1188559002346,17001.29961734348,65944.29617648655
19676.856039683025,19547.829645845624,1355.359650393327,2546.009629037645,1956.3363714880413,1560.4382455415196,25131.1064453125,86772.17685275608,11797.506985134549,11689.707234700521,619.2027688953611,584.2982908884684,2088.1930662790933,1487.901277224223,18220.82255130344,71217.34974839952
17783.5091158549,18213.505316840277,1331.1025300158394,2055.581475681729,2068.131252653069,2153.9087552362016,27021.940972222223,76823.02433946397,9560.112189398871,13417.06448703342,1000.0957934988869,657.3166094885933,2807.5375401708816,1785.4705873065525,17331.804757859973,78805.94805569119
