subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1004,pIPS,right,pIPS,right,ToolLoc,ppi,0.006465126373432786
sub-spaceloc1004,pIPS,right,LO,left,ToolLoc,ppi,0.0008628173933728882
sub-spaceloc1004,pIPS,right,LO,right,ToolLoc,ppi,0.006465126373432786
sub-spaceloc1004,pIPS,right,PFS,left,ToolLoc,ppi,0.0008628173933728882
sub-spaceloc1004,pIPS,right,PFS,right,ToolLoc,ppi,0.006465126373432786
sub-spaceloc1004,pIPS,right,aIPS,left,ToolLoc,ppi,0.0008628173933728882
sub-spaceloc1004,pIPS,right,aIPS,right,ToolLoc,ppi,0.006465126373432786
sub-spaceloc1004,LO,left,pIPS,left,ToolLoc,ppi,-0.007999899970743348
sub-spaceloc1004,LO,left,pIPS,right,ToolLoc,ppi,-0.006827133806990006
sub-spaceloc1004,LO,left,LO,left,ToolLoc,ppi,-0.007999899970743348
sub-spaceloc1004,LO,left,LO,right,ToolLoc,ppi,-0.006827133806990006
sub-spaceloc1004,LO,left,PFS,left,ToolLoc,ppi,-0.007999899970743348
sub-spaceloc1004,LO,left,PFS,right,ToolLoc,ppi,-0.006827133806990006
sub-spaceloc1004,LO,left,aIPS,left,ToolLoc,ppi,-0.007999899970743348
sub-spaceloc1004,LO,left,aIPS,right,ToolLoc,ppi,-0.006827133806990006
sub-spaceloc1004,LO,right,pIPS,left,ToolLoc,ppi,0.00047988014978871335
sub-spaceloc1004,LO,right,pIPS,right,ToolLoc,ppi,0.0016514448108011445
sub-spaceloc1004,LO,right,LO,left,ToolLoc,ppi,0.00047988014978871335
sub-spaceloc1004,LO,right,LO,right,ToolLoc,ppi,0.0016514448108011445
sub-spaceloc1004,LO,right,PFS,left,ToolLoc,ppi,0.00047988014978871335
sub-spaceloc1004,LO,right,PFS,right,ToolLoc,ppi,0.0016514448108011445
sub-spaceloc1004,LO,right,aIPS,left,ToolLoc,ppi,0.00047988014978871335
sub-spaceloc1004,LO,right,aIPS,right,ToolLoc,ppi,0.0016514448108011445
sub-spaceloc1004,PFS,left,pIPS,left,ToolLoc,ppi,-0.007994076223569988
sub-spaceloc1004,PFS,left,pIPS,right,ToolLoc,ppi,-0.006883202295020138
sub-spaceloc1004,PFS,left,LO,left,ToolLoc,ppi,-0.007994076223569988
sub-spaceloc1004,PFS,left,LO,right,ToolLoc,ppi,-0.006883202295020138
sub-spaceloc1004,PFS,left,PFS,left,ToolLoc,ppi,-0.007994076223569988
sub-spaceloc1004,PFS,left,PFS,right,ToolLoc,ppi,-0.006883202295020138
sub-spaceloc1004,PFS,left,aIPS,left,ToolLoc,ppi,-0.007994076223569988
sub-spaceloc1004,PFS,left,aIPS,right,ToolLoc,ppi,-0.006883202295020138
sub-spaceloc1004,PFS,right,pIPS,left,ToolLoc,ppi,-0.0059046594178003686
sub-spaceloc1004,PFS,right,pIPS,right,ToolLoc,ppi,-0.006758017221661496
sub-spaceloc1004,PFS,right,LO,left,ToolLoc,ppi,-0.0059046594178003686
sub-spaceloc1004,PFS,right,LO,right,ToolLoc,ppi,-0.006758017221661496
sub-spaceloc1004,PFS,right,PFS,left,ToolLoc,ppi,-0.0059046594178003686
sub-spaceloc1004,PFS,right,PFS,right,ToolLoc,ppi,-0.006758017221661496
sub-spaceloc1004,PFS,right,aIPS,left,ToolLoc,ppi,-0.0059046594178003686
sub-spaceloc1004,PFS,right,aIPS,right,ToolLoc,ppi,-0.006758017221661496
sub-spaceloc1004,aIPS,left,pIPS,left,ToolLoc,ppi,-0.00012247982368710528
sub-spaceloc1004,aIPS,left,pIPS,right,ToolLoc,ppi,0.005259981564230311
sub-spaceloc1004,aIPS,left,LO,left,ToolLoc,ppi,-0.00012247982368710528
sub-spaceloc1004,aIPS,left,LO,right,ToolLoc,ppi,0.005259981564230311
sub-spaceloc1004,aIPS,left,PFS,left,ToolLoc,ppi,-0.00012247982368710528
sub-spaceloc1004,aIPS,left,PFS,right,ToolLoc,ppi,0.005259981564230311
sub-spaceloc1004,aIPS,left,aIPS,left,ToolLoc,ppi,-0.00012247982368710528
sub-spaceloc1004,aIPS,left,aIPS,right,ToolLoc,ppi,0.005259981564230311
sub-spaceloc1004,aIPS,right,pIPS,left,ToolLoc,ppi,0.0032512582296509844
