ROI_ID,Mean_Difference,Std_Error,SNR,p_value,Direction_Consistency,ROI_Name,Top_10_Percent,Top_25_Percent
131,0.019909712,0.004932083,4.036775,0.0009835091207776644,1.0,7Networks_RH_SomMot_16,False,False
132,0.024697164,0.004072619,6.064197,1.3770490438433387e-05,1.0,7Networks_RH_SomMot_17,False,True
133,0.020621719,0.004063064,5.0754104,0.00010572398476638445,1.0,7Networks_RH_SomMot_18,False,False
134,0.024072558,0.005001645,4.812928,0.00018459225290659313,1.0,7Networks_RH_SomMot_19,False,False
135,0.038801957,0.007168952,5.412501,5.215534585263941e-05,1.0,7Networks_RH_DorsAttn_Post_1,False,False
136,0.019069081,0.0039766207,4.795298,0.00019167070838326032,1.0,7Networks_RH_DorsAttn_Post_2,False,False
137,0.017563619,0.0035803358,4.9055786,0.0001515301229907644,1.0,7Networks_RH_DorsAttn_Post_3,False,False
138,0.025149895,0.0057472866,4.37596,0.00047188038879619526,1.0,7Networks_RH_DorsAttn_Post_4,False,False
139,0.026760982,0.0077397716,3.4575932,0.0034457445461760243,1.0,7Networks_RH_DorsAttn_Post_5,False,False
140,0.0388349,0.006715583,5.782804,2.432730273505981e-05,1.0,7Networks_RH_DorsAttn_Post_6,False,True
141,0.035924885,0.00732599,4.9037585,0.0001521180089430575,1.0,7Networks_RH_DorsAttn_Post_7,False,False
142,0.038954593,0.0059016407,6.600638,4.779771714734185e-06,1.0,7Networks_RH_DorsAttn_Post_8,False,True
143,0.04431821,0.006972173,6.3564415,7.70313123631965e-06,1.0,7Networks_RH_DorsAttn_Post_9,False,True
144,0.034810133,0.005465513,6.3690515,7.514240024668278e-06,1.0,7Networks_RH_DorsAttn_Post_10,False,True
145,0.021847805,0.0040249606,5.428079,5.049353813436886e-05,1.0,7Networks_RH_DorsAttn_FEF_1,False,False
146,0.027437123,0.00474541,5.7818236,2.4375969797191266e-05,1.0,7Networks_RH_DorsAttn_FEF_2,False,True
147,0.018549716,0.004178518,4.4393053,0.00041158011862255865,1.0,7Networks_RH_DorsAttn_PrCv_1,False,False
148,0.020639276,0.0032659895,6.3194556,8.285945685670028e-06,1.0,7Networks_RH_SalVentAttn_TempOccPar_1,False,True
149,0.021415798,0.004807223,4.454921,0.00039795075302058864,1.0,7Networks_RH_SalVentAttn_TempOccPar_2,False,False
150,0.023082262,0.005107954,4.518886,0.00034671897779742976,1.0,7Networks_RH_SalVentAttn_TempOccPar_3,False,False
151,0.022759955,0.005328027,4.271742,0.0005911238513899607,1.0,7Networks_RH_SalVentAttn_PrC_1,False,False
152,0.013584662,0.004501958,3.0175009,0.008810976632852378,1.0,7Networks_RH_SalVentAttn_FrOperIns_1,False,False
153,0.01426098,0.0026507294,5.380021,5.580257701845067e-05,1.0,7Networks_RH_SalVentAttn_FrOperIns_2,False,False
154,0.026720142,0.0067694252,3.9471803,0.0011944739973283158,1.0,7Networks_RH_SalVentAttn_FrOperIns_3,False,False
155,0.01937453,0.006088191,3.1823132,0.006214071407786192,1.0,7Networks_RH_SalVentAttn_FrOperIns_4,False,False
156,0.017066812,0.005275167,3.2353122,0.005550231887718481,1.0,7Networks_RH_SalVentAttn_Med_1,False,False
157,0.035304125,0.007580155,4.657441,0.00025743907429139176,1.0,7Networks_RH_SalVentAttn_Med_2,False,False
158,0.02444908,0.0057700435,4.2372437,0.0006369476502460869,1.0,7Networks_RH_SalVentAttn_Med_3,False,False
159,0.008220968,0.002243919,3.663665,0.0022082425150453332,1.0,7Networks_RH_Limbic_OFC_1,False,False
160,0.011634358,0.004875775,2.3861556,0.032127869653970804,1.0,7Networks_RH_Limbic_OFC_2,False,False
161,0.0083859805,0.0020522887,4.08616,0.0008836286889511226,1.0,7Networks_RH_Limbic_OFC_3,False,False
162,0.007979235,0.0024250792,3.2902985,0.004934845241167956,1.0,7Networks_RH_Limbic_TempPole_1,False,False
163,0.0090750065,0.0022541184,4.025967,0.001006835752002356,1.0,7Networks_RH_Limbic_TempPole_2,False,False
164,0.010547084,0.0038669892,2.7274666,0.016127134334404894,1.0,7Networks_RH_Limbic_TempPole_3,False,False
165,0.020599365,0.0030659859,6.718676,3.80538763884335e-06,1.0,7Networks_RH_Cont_Par_1,True,True
166,0.023075124,0.005825953,3.9607468,0.0011598357082741426,1.0,7Networks_RH_Cont_Par_2,False,False
167,0.03000297,0.004481984,6.694127,3.9895734833263e-06,1.0,7Networks_RH_Cont_Par_3,True,True
168,0.01881577,0.0042631193,4.4136157,0.0004350360871253405,1.0,7Networks_RH_Cont_Temp_1,False,False
169,0.010598307,0.0019741473,5.368549,5.7152400465555713e-05,1.0,7Networks_RH_Cont_PFCv_1,False,False
170,0.0069020228,0.0015079313,4.577147,0.0003058769630529907,1.0,7Networks_RH_Cont_PFCl_1,False,False
171,0.01765691,0.00489311,3.6085248,0.0024879505178406923,1.0,7Networks_RH_Cont_PFCl_2,False,False
172,0.015491798,0.0043609138,3.5524201,0.002808545436698242,1.0,7Networks_RH_Cont_PFCl_3,False,False
173,0.020872157,0.0037084862,5.628215,3.3385937339093035e-05,1.0,7Networks_RH_Cont_PFCl_4,False,False
174,0.016030513,0.003565973,4.495411,0.00036469716093436445,1.0,7Networks_RH_Cont_PFCl_5,False,False
175,0.017659336,0.0038680723,4.56541,0.0003136934478062563,1.0,7Networks_RH_Cont_PFCl_6,False,False
176,0.019398164,0.0032866935,5.90203,1.909342342340498e-05,1.0,7Networks_RH_Cont_PFCl_7,False,True
177,0.06569835,0.011782617,5.5758705,3.7185519793982004e-05,1.0,7Networks_RH_Cont_pCun_1,False,False
178,0.016477996,0.004758272,3.4630213,0.0034056993327448927,1.0,7Networks_RH_Cont_Cing_1,False,False
179,0.009533801,0.00198381,4.805804,0.00018742005660248503,1.0,7Networks_RH_Cont_Cing_2,False,False
