ROI_ID,ROI_Name,Difference,CI_Lower,CI_Upper,LOO_Reliability,Combined_Significant
162,7Networks_RH_Limbic_TempPole_1,-0.0030607302,-0.00762070722412318,0.003654670214746146,0.8421052631578947,False
163,7Networks_RH_Limbic_TempPole_2,-0.003282074,-0.007138570689130574,0.0016798615863081025,0.8421052631578947,False
164,7Networks_RH_Limbic_TempPole_3,-0.0012107957,-0.007116657379083335,0.00758314430713653,0.7894736842105263,False
165,7Networks_RH_Cont_Par_1,0.011932652,0.004236578021664173,0.018745186738669872,0.7894736842105263,True
166,7Networks_RH_Cont_Par_2,0.0001867637,-0.013707536202855407,0.011763714137487112,0.05263157894736842,False
167,7Networks_RH_Cont_Par_3,0.005390309,-0.008287069783546031,0.019204817386344074,0.5789473684210527,False
168,7Networks_RH_Cont_Temp_1,-0.0062437467,-0.016364327678456903,0.0029805213154759256,0.5789473684210527,False
169,7Networks_RH_Cont_PFCv_1,-0.0033665113,-0.008275279309600592,0.0013295740034664045,0.5789473684210527,False
170,7Networks_RH_Cont_PFCl_1,-0.0029934235,-0.0075520291458815334,0.001383585706935257,0.5789473684210527,False
171,7Networks_RH_Cont_PFCl_2,-0.00034532323,-0.009830846660770476,0.012989114690572023,0.10526315789473684,False
172,7Networks_RH_Cont_PFCl_3,0.0010560714,-0.007607089739758521,0.012530368985608218,0.3684210526315789,False
173,7Networks_RH_Cont_PFCl_4,-0.016482703,-0.025105355633422734,-0.008486655727028848,0.7894736842105263,True
174,7Networks_RH_Cont_PFCl_5,-0.002235718,-0.010550936288200318,0.0051583598949946465,0.3684210526315789,False
175,7Networks_RH_Cont_PFCl_6,-0.0024301112,-0.012871753238141536,0.006898274482227861,0.42105263157894735,False
176,7Networks_RH_Cont_PFCl_7,-0.006456375,-0.01522002366837114,0.0020240849233232345,0.5789473684210527,False
177,7Networks_RH_Cont_pCun_1,0.066663235,0.05025835167616606,0.08768861331045627,1.0,True
178,7Networks_RH_Cont_Cing_1,0.01501378,0.005781123891938478,0.027128375880420205,0.8421052631578947,True
179,7Networks_RH_Cont_Cing_2,-0.001302518,-0.0056128911790438,0.0030125322053208897,0.5789473684210527,False
180,7Networks_RH_Cont_PFCmp_1,-0.006435957,-0.012382176984101535,-0.0011309230379993136,0.6842105263157895,False
181,7Networks_RH_Cont_PFCmp_2,-0.0011306629,-0.009985934570431709,0.00974320948589593,0.631578947368421,False
182,7Networks_RH_Default_Par_1,0.04029988,0.029648423613980412,0.05147760417312383,1.0,True
183,7Networks_RH_Default_Par_2,0.015636768,0.006192825722973794,0.028924494236707687,0.7894736842105263,True
184,7Networks_RH_Default_Par_3,0.009043373,-0.0006331781289190981,0.019594665756449102,0.5789473684210527,False
185,7Networks_RH_Default_Temp_1,-0.0037855413,-0.0067956602899357675,-0.0008706512569915519,0.7368421052631579,False
186,7Networks_RH_Default_Temp_2,-0.006031085,-0.01503644601907581,0.0006832283354015085,0.5789473684210527,False
187,7Networks_RH_Default_Temp_3,-0.0032918975,-0.012340686563402413,0.00420130076818168,0.5263157894736842,False
188,7Networks_RH_Default_Temp_4,-0.011035249,-0.022382035898044706,-0.001021846866933633,0.631578947368421,False
189,7Networks_RH_Default_Temp_5,-0.0048743,-0.010959193436428904,0.001523502348572947,0.6842105263157895,False
190,7Networks_RH_Default_PFCv_1,-0.0023176074,-0.009880372555926442,0.008404124923981723,0.7368421052631579,False
191,7Networks_RH_Default_PFCdPFCm_1,0.004992312,0.0008517068868968637,0.009081746544688938,0.7368421052631579,False
192,7Networks_RH_Default_PFCdPFCm_2,0.013682256,0.001767350541194901,0.030682661011815066,0.6842105263157895,False
193,7Networks_RH_Default_PFCdPFCm_3,0.0074136425,-0.0025072981195989994,0.02269570524804294,0.42105263157894735,False
194,7Networks_RH_Default_PFCdPFCm_4,-0.00019723736,-0.005132893426343798,0.00431855034548789,0.15789473684210525,False
195,7Networks_RH_Default_PFCdPFCm_5,0.0036697686,-0.00229425000725314,0.009428365970961748,0.5263157894736842,False
196,7Networks_RH_Default_PFCdPFCm_6,0.009029221,0.00210901636746712,0.01576494388282299,0.6842105263157895,False
197,7Networks_RH_Default_PFCdPFCm_7,0.0152526945,0.007663878321181983,0.023210657201707362,0.7368421052631579,False
198,7Networks_RH_Default_pCunPCC_1,0.05492627,0.040429627243429425,0.06999321356415748,0.9473684210526315,True
199,7Networks_RH_Default_pCunPCC_2,0.03404991,0.019687127321958542,0.05389326829463243,0.9473684210526315,True
200,7Networks_RH_Default_pCunPCC_3,0.028217033,0.01578593491576612,0.04115522177889943,0.8421052631578947,True
