ROI,Analysis,Condition,Subject1,Subject2,Dice
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc1012,0.7339801480108051
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc2013,0.7591505860472936
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc2014,0.7342263041225099
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc2015,0.7417377842035902
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc2016,0.721661556064685
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc2017,0.7174770337027758
LO,fc,nontools,sub-spaceloc1009,sub-spaceloc2018,0.6589375692648689
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc1011,0.7700998939201594
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc1012,0.8273817444143305
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc2013,0.8389668904102324
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc2014,0.8576156110218653
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc2015,0.8535986299517779
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc2016,0.8308551143415118
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc2017,0.7887502153952195
LO,fc,nontools,sub-spaceloc1010,sub-spaceloc2018,0.74816669647648
LO,fc,nontools,sub-spaceloc1011,sub-spaceloc1012,0.7617910687325384
LO,fc,nontools,sub-spaceloc1011,sub-spaceloc2013,0.7628068369129942
LO,fc,nontools,sub-spaceloc1011,sub-spaceloc2014,0.7907015989537189
LO,fc,nontools,sub-spaceloc1011,sub-spaceloc2015,0.7827623925184901
LO,fc,nontools,sub-spaceloc1011,sub-spaceloc2016,0.7686826113760176
LO,fc,nontools,sub-spaceloc1011,sub-spaceloc2017,0.7321683205387277
LO,fc,nontools,sub-spaceloc1011,sub-spaceloc2018,0.7039706301091142
LO,fc,nontools,sub-spaceloc1012,sub-spaceloc2013,0.8372320232246538
LO,fc,nontools,sub-spaceloc1012,sub-spaceloc2014,0.849750276243094
LO,fc,nontools,sub-spaceloc1012,sub-spaceloc2015,0.846215910924641
LO,fc,nontools,sub-spaceloc1012,sub-spaceloc2016,0.8231563975891943
LO,fc,nontools,sub-spaceloc1012,sub-spaceloc2017,0.7829101200933314
LO,fc,nontools,sub-spaceloc1012,sub-spaceloc2018,0.742613725788682
LO,fc,nontools,sub-spaceloc2013,sub-spaceloc2014,0.8579579212246182
LO,fc,nontools,sub-spaceloc2013,sub-spaceloc2015,0.8603914259086672
LO,fc,nontools,sub-spaceloc2013,sub-spaceloc2016,0.8226073281081926
LO,fc,nontools,sub-spaceloc2013,sub-spaceloc2017,0.7861727305055856
LO,fc,nontools,sub-spaceloc2013,sub-spaceloc2018,0.7368670221566107
LO,fc,nontools,sub-spaceloc2014,sub-spaceloc2015,0.8828592006531213
LO,fc,nontools,sub-spaceloc2014,sub-spaceloc2016,0.8540208918372006
LO,fc,nontools,sub-spaceloc2014,sub-spaceloc2017,0.7988251614357382
LO,fc,nontools,sub-spaceloc2014,sub-spaceloc2018,0.7631631515991691
LO,fc,nontools,sub-spaceloc2015,sub-spaceloc2016,0.8358941158233562
LO,fc,nontools,sub-spaceloc2015,sub-spaceloc2017,0.7941384823044007
LO,fc,nontools,sub-spaceloc2015,sub-spaceloc2018,0.750972743334723
LO,fc,nontools,sub-spaceloc2016,sub-spaceloc2017,0.7811018204119486
LO,fc,nontools,sub-spaceloc2016,sub-spaceloc2018,0.7615686924283769
LO,fc,nontools,sub-spaceloc2017,sub-spaceloc2018,0.711389744796598
