ROI_ID,ROI_Name,Clean_Name,Mean_Difference,p_value,t_stat,Significant,Effect_Size,N_pairs,Lobe,Hemisphere
b'17Networks_LH_DefaultC_PHC_1',Wang_b'17Networks_LH_DefaultC_PHC_1',b'17Networks_LH_DefaultC_PHC_1',-2.2534685781362187,2.573315121426908e-131,-30.717435002290323,True,-1.1677016684879298,692,Frontal,L
b'17Networks_LH_DefaultB_Temp_2',Wang_b'17Networks_LH_DefaultB_Temp_2',b'17Networks_LH_DefaultB_Temp_2',-0.03332387210408704,0.0047002424761570846,-2.835100980019075,True,-0.10170868111062449,777,Frontal,L
b'17Networks_RH_SalVentAttnB_PFCl_1',Wang_b'17Networks_RH_SalVentAttnB_PFCl_1',b'17Networks_RH_SalVentAttnB_PFCl_1',-0.43895305588719785,2.1813021366175116e-285,-51.28757632268369,True,-1.6003941472457848,1027,Frontal,R
b'17Networks_RH_VisPeri_ExStrInf_1',Wang_b'17Networks_RH_VisPeri_ExStrInf_1',b'17Networks_RH_VisPeri_ExStrInf_1',-1.3901967483446271,1.7576542142666411e-81,-22.119128029902495,True,-0.8616388950351282,659,Occipital,R
b'17Networks_LH_SalVentAttnA_FrOper_1',Wang_b'17Networks_LH_SalVentAttnA_FrOper_1',b'17Networks_LH_SalVentAttnA_FrOper_1',0.0,,,False,,292,Frontal,L
b'17Networks_LH_DorsAttnB_PostC_1',Wang_b'17Networks_LH_DorsAttnB_PostC_1',b'17Networks_LH_DorsAttnB_PostC_1',-1.6424935147092052,3.1109470701930217e-75,-21.74455357777757,True,-0.9481075911343683,526,Temporal,L
b'17Networks_RH_ContA_IPS_2',Wang_b'17Networks_RH_ContA_IPS_2',b'17Networks_RH_ContA_IPS_2',0.0,,,False,,453,Frontal,R
b'17Networks_LH_DefaultB_Temp_4',Wang_b'17Networks_LH_DefaultB_Temp_4',b'17Networks_LH_DefaultB_Temp_4',0.0,,,False,,787,Frontal,L
b'17Networks_LH_DefaultA_PFCm_1',Wang_b'17Networks_LH_DefaultA_PFCm_1',b'17Networks_LH_DefaultA_PFCm_1',-0.10637454225935265,3.837096967194978e-06,-4.666844703283528,True,-0.19774055633684473,557,Frontal,L
b'17Networks_RH_SomMotA_11',Wang_b'17Networks_RH_SomMotA_11',b'17Networks_RH_SomMotA_11',0.02375951658414534,0.15772332963723712,1.4170673226708106,False,0.08998386497350644,248,Somatomotor,R
b'17Networks_RH_VisPeri_ExStrSup_3',Wang_b'17Networks_RH_VisPeri_ExStrSup_3',b'17Networks_RH_VisPeri_ExStrSup_3',-1.5521361466775798,1.9745201307751757e-59,-18.910990718508312,True,-0.8807726468476076,461,Occipital,R
b'17Networks_RH_LimbicA_TempPole_4',Wang_b'17Networks_RH_LimbicA_TempPole_4',b'17Networks_RH_LimbicA_TempPole_4',-2.09155530713301,2.655137291277963e-155,-33.673111668646996,True,-1.1920152316950254,798,Temporal,R
b'17Networks_RH_VisCent_ExStr_2',Wang_b'17Networks_RH_VisCent_ExStr_2',b'17Networks_RH_VisCent_ExStr_2',-3.91231811457009,2.226149799593308e-260,-56.66874661117414,True,-2.1667836818879045,684,Occipital,R
b'17Networks_LH_SomMotA_2',Wang_b'17Networks_LH_SomMotA_2',b'17Networks_LH_SomMotA_2',-0.9045894940988352,5.977274520403753e-48,-16.54312753374077,True,-0.7959315945702952,432,Somatomotor,L
b'17Networks_RH_LimbicA_TempPole_1',Wang_b'17Networks_RH_LimbicA_TempPole_1',b'17Networks_RH_LimbicA_TempPole_1',-3.7046454988627975,0.0,-122.47192740186607,True,-3.62095844166992,1144,Temporal,R
b'17Networks_LH_SalVentAttnA_FrMed_2',Wang_b'17Networks_LH_SalVentAttnA_FrMed_2',b'17Networks_LH_SalVentAttnA_FrMed_2',-0.01604995213793309,0.08328475866640253,-1.7352546770892017,False,-0.07580495253564375,524,Frontal,L
